CNPJ,IbovCorrelation,SELICCorrelation,flowCorrelation,avgTicketCorrelation,vol,resultKmeans,DENOM_SOCIAL
27.944.378/0001-08,0.5389952946982376,-0.9107963829178312,-0.0988959149768821,0.7565505880184101,0.04854880989905039,3,
28.947.266/0001-65,0.30109007701115104,-0.9122334313815994,-0.3655337749482296,0.31810174091837085,0.037966504072849135,3,
18.422.272/0001-45,0.8258515425205891,-0.740936994663246,-0.030053489549809374,-0.09090756134209672,0.1241112254999292,4,ABSOLUTE VERTEX CSHG FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO
21.470.989/0001-77,0.6789428127960999,-0.7615595379918351,-0.025041344398025703,-0.16017079310660434,0.1242918840955407,4,ABSOLUTE VERTEX FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
23.565.803/0001-99,0.7532806964292211,-0.7648126579865785,-0.035843940457899716,-0.7842305068983763,0.12380850007981982,4,ABSOLUTE VERTEX II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
31.963.220/0001-44,0.023896523372812742,-0.5205907371779515,-0.22167975654985986,-0.5887910932910055,0.03209794433642627,0,
34.774.662/0001-30,0.17115158724427412,-0.6691898861530953,-0.019831384318596858,-0.37675502634231256,0.03454663558272044,0,
24.119.462/0001-90,0.4072963555557822,-0.5655075350209756,0.08268739580045488,-0.7012177008570513,0.08877493973172577,4,ADAM ADVANCED 1 FICFI MM CRÉDITO PRIVADO IE
24.018.977/0001-02,0.3255657623405496,-0.3006266974170456,0.06248349172693745,0.53994432617568,0.08979013560103634,3,ADAM ADVANCED II FI EM COTAS DE FI MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR
24.119.419/0001-25,0.24946110555047826,-0.7851219199461337,-0.038382600770145485,0.457255851719233,0.06578589401665176,3,ADAM MACRO 1 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
24.078.037/0001-09,-0.6817500633862014,0.08316658796322182,0.0825895445862737,0.4307234787395233,0.06639792107953288,2,ADAM MACRO ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
24.029.438/0001-60,-0.6841933258759881,0.2828613926246256,0.06942076777682761,-0.9657655744297726,0.06633033599037681,2,ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
29.298.529/0001-15,-0.243191153999422,0.9215591976025082,-0.1740055814536175,-0.22949958540565205,0.03463637388114015,1,
23.979.285/0001-50,-0.10536352328967087,0.4282944671386328,-0.09321456372098903,-0.02550294336785397,0.057393172586783066,1,
29.286.406/0001-64,0.030824105770868464,0.9237812698336124,-0.08192915857309002,-0.2452389704537217,0.03423881082189142,1,
23.951.048/0001-80,-0.10549642960232117,0.4953289739789294,-0.048914388255727664,0.1693127818645974,0.057779734833196275,1,
13.001.211/0001-90,-0.5440476847475839,-0.2907942041266418,0.062290920942960126,-0.7370784820362967,0.059540790592088264,0,ALASKA RANGE FUNDO DE INVESTIMENTO MULTIMERCADO
31.525.084/0001-00,-0.1635807803907586,-0.9337912946676862,-0.13258649575012926,-0.5858451977096465,0.1589999034086797,0,
33.784.197/0001-56,-0.4947005563546105,-0.8531413861676935,-0.14364855054875733,-0.9104522234232368,0.13915530337445145,0,
13.608.337/0001-28,0.7772351824838364,-0.6206929355085542,-0.04802517949164619,-0.17350107920071287,0.14126728289546386,4,APEX EQUITY HEDGE FUNDO DE INVESTIMENTO MULTIMERCADO
15.182.407/0001-54,0.7510849978199312,-0.7860811487732481,-0.1182051625691448,0.07275903793352433,0.1615667322318334,3,APEX EQUITY HEDGE STR FUNDO DE INVESTIMENTO MULTIMERCADO
33.345.956/0001-84,-0.2656915674480313,-0.9146430371105524,0.02620232732828048,-0.377436323686456,0.10405453080757346,0,
27.826.024/0001-50,0.2532882119643668,-0.09449908104953662,0.058845385786723076,-0.5384447019049119,0.14007111025650842,0,
17.414.721/0001-40,0.4765894840824211,-0.7137140087576742,0.09692286791092604,-0.7861265117699985,0.10265408749219067,4,ARX MACRO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
06.041.290/0001-06,-0.6721213820384306,0.14462532597448918,-0.06952041862561424,0.4222176248908617,0.08915429133564302,2,ARX EXTRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
32.240.069/0001-89,-0.1961092737107047,-0.5915612668183228,-0.5639762410143656,-0.4761031330299363,0.03212966543495725,0,
26.323.079/0001-85,0.6884777671294439,-0.8659910920301526,0.0009818478645433311,-0.6300780396476495,0.11692766123671228,4,AZ QUEST MULTI MAX FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
14.812.722/0001-55,0.4998130339968867,-0.7019452325823567,0.013313039029836935,-0.01481128065591196,0.08985502245379944,4,AZ QUEST TOTAL RETURN FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
23.732.231/0001-95,0.7766090375651372,-0.7770940934348219,-0.00633825172147106,-0.7756846555764781,0.17101453752619852,4,BAHIA AM LONG BIASED FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
11.802.604/0001-78,0.18038496033323748,0.8657096792402321,0.657300899372145,-0.4344272513309058,0.09531001949066634,1,BB MULTIMERCADO LONGO PRAZO GLOBAL VITA PRIVATE FUNDO DE INVESTIMENTO
33.617.774/0001-15,-0.30829795606215105,-0.9205656487515944,-0.18930642151232605,0.08025062423849523,0.03158250454460572,0,
18.079.540/0001-78,0.13137899652506646,-0.5264754022715786,-0.07820856139991005,0.1343220870992738,0.1355538131090597,0,BRADESCO FUNDO DE INVESTIMENTO MULTIMERCADO S&P 500 MAIS
01.214.092/0001-75,0.5420692695340804,-0.5640167475625733,-0.08943097155642549,-0.8145260352116708,0.08649097971429619,4,BTG PACTUAL DISCOVERY FUNDO DE INVESTIMENTO MULTIMERCADO
31.964.487/0001-56,0.14883196925683792,-0.9126456685411372,-0.07831270162278631,0.7092088526995449,0.1821324330157228,3,
34.096.227/0001-02,-0.4137649272318071,-0.33603987588000794,-0.152308762477225,-0.4228196443981168,0.04031069672527255,0,
23.657.960/0001-24,0.7908990119545718,-0.8921863885201421,0.0643266759324242,0.8902244515548331,0.102568564492156,3,BTG PACTUAL TOF FUNDO DE INVESTIMENTO MULTIMERCADO
15.212.344/0001-31,-0.6914329281875444,0.4850840924649072,8.936351810434199e-05,-0.3032733375108275,0.10031277737886933,2,CANVAS ENDURO 30 CSHG FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO
18.480.735/0001-25,-0.465589222294626,-0.3859603903764498,-0.02744526606011612,0.8182287263434506,0.09904488455465572,3,CANVAS ENDURO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
13.106.979/0001-29,0.620910653927035,-0.7958738691890686,-0.0652327571412233,-0.5358270054755524,0.0990445143796168,4,CANVAS ENDURO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
28.345.351/0001-53,0.35186842353531,-0.9401187628112732,0.10282633367702944,-0.2773511377210847,0.1071775654574135,4,
28.866.524/0001-89,0.2851631499867852,-0.9398394016172754,0.08191637935489426,-0.6923986255842606,0.10671905988585922,4,
29.232.917/0001-01,0.4625922304905009,-0.9107963829178314,-0.22829770400168625,-0.1851891109379876,0.12971894361265526,4,
29.852.634/0001-54,-0.3360460556982081,0.9107963829178312,-0.10942796304592096,-0.9357430487595804,0.03852809378834488,1,
27.944.406/0001-89,0.09657733939890578,0.948995575002626,-0.04216849108025593,-0.4981098332183198,0.03379367579401006,1,
05.109.839/0001-86,-0.011809219217030677,-0.1922810214143015,0.04589762449433392,-0.8106734062520908,0.0997658610647951,0,CLARITAS LONG SHORT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
29.298.540/0001-85,0.3359256211957745,-0.9250942500549014,0.046143016697634,-0.4986001748025285,0.09377511407293397,4,
28.971.643/0001-00,0.03582442348044384,0.5720904854906352,0.1311859752556809,0.006707630473765408,0.08523381596207938,1,
28.971.607/0001-38,0.3111447816698357,0.911953191287117,-0.3871464823693617,0.01305154554373857,0.1086842166548616,1,
04.806.420/0001-10,-0.7957943287056933,0.8283946442599499,-0.06820914249898284,-0.562717181016406,0.11389708839850655,2,CSHG VERDE AM  BETA 14 FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO
