,CNPJ,IbovCorrelation,SELICCorrelation,flowCorrelation,avgTicketCorrelation,vol
0,00.982.697/0001-43,,,,,0.026854376153473414
1,01.309.845/0001-26,,,,,0.025762693861492686
2,01.361.072/0001-27,-0.7661311417658757,0.7981499588801043,0.028439154626906462,-0.9852762795448557,0.023644604444667393
3,01.361.073/0001-71,-0.7560037267381325,,0.026980058010887556,-0.1610449237197507,0.02789452143936959
4,02.887.434/0001-80,-0.7918823701623325,0.9768167257032409,-0.06543731273157379,-0.9004582648671593,0.026565951339447655
5,02.937.706/0001-00,,,,,0.02819482321511701
6,03.102.098/0001-86,,,,,0.030837432775914338
7,03.322.891/0001-90,,,,,0.03215182942127153
8,03.322.908/0001-00,,,,,0.02788056590008085
9,03.381.437/0001-00,-0.24951581750214355,,0.02655933854522252,0.08216933573684042,0.03145601449859134
10,03.432.232/0001-07,,,,,0.03365206561822713
11,03.534.590/0001-20,,,,,0.030064043383103686
12,03.657.168/0001-62,0.060141890384789835,,,,0.03198293417827106
13,03.877.060/0001-85,-0.7359407310183916,,-0.02993872150000695,-0.9239635148604523,0.02686672200071846
14,03.998.582/0001-35,0.3349749142281653,,-0.00441094252060004,-0.27423776569478886,0.02892183300155852
15,04.052.699/0001-94,,,,,0.027093786340895206
16,04.187.008/0001-60,,,,,0.026938811792323977
17,04.222.437/0001-20,,,,,0.03154935372424593
18,04.260.579/0001-82,,,,,0.030382289503070176
19,04.385.343/0001-72,,,,,0.030316814778349455
20,04.389.256/0001-93,,,,,0.02754623425592021
21,04.418.668/0001-04,0.281508640213922,,,-0.9579700286307584,0.0899000024024186
22,04.455.642/0001-36,,,,,0.029817986363758472
23,04.526.508/0001-89,,,,,0.026441634026286614
24,04.530.186/0001-41,,,,,0.01498074396961592
25,04.579.712/0001-68,,,,,0.028708652696766535
26,04.657.834/0001-25,-0.3039860811748852,,0.012523898032757415,-0.977975313553854,0.0342334986157484
27,04.682.487/0001-90,,,,,0.030310821340818483
28,04.696.422/0001-02,,,,,0.03241025077397339
29,04.738.488/0001-00,,,,,0.02852747462441872
30,04.804.980/0001-36,,,,,0.03259163162402854
31,04.839.905/0001-00,,,,,0.032261410695445615
32,05.091.439/0001-90,,,,,0.028089089914315326
33,05.117.996/0001-33,,,,,0.030056372754488636
34,05.200.990/0001-25,,,,,0.038937254266360306
35,05.222.507/0001-03,,,,,0.028851502184196076
36,05.290.139/0001-30,,,,,0.02928299206488212
37,05.395.859/0001-60,,,,,0.03330023132625561
38,05.406.144/0001-66,,,,,0.026954214096817163
39,05.406.342/0001-20,,,,,0.03335536264851547
40,05.424.498/0001-33,,,,,0.031150680057635768
41,05.458.523/0001-08,,,,,0.03776553967347543
42,05.458.910/0001-36,-0.3416844839107657,,0.022145268648606636,-0.9835338688962062,0.0312943246456138
43,05.491.225/0001-01,,,,,0.02409523857988073
44,05.513.229/0001-43,-0.750596478454333,-0.897771730160095,-0.05715401092527147,-0.9294168951464743,0.032048182171663525
45,05.586.694/0001-04,,,,,0.037514780243291614
46,05.629.454/0001-40,0.47158142423256677,,0.03567890974174248,0.9810477499161246,0.03313563382030117
47,05.785.303/0001-80,,,,,0.02372185109251643
48,05.903.152/0001-18,-0.5220903782774903,,-0.03734426387990264,-0.7661044863945266,0.027537310774792934
49,05.926.147/0001-20,,,,,0.027326521493421123
50,05.926.162/0001-79,-0.5104809013212572,,0.04850349942780904,-0.8945790018061874,0.027092842393764565
51,05.936.434/0001-11,,,,,0.036308120435046096
52,06.010.899/0001-00,,,,,0.03165334810132383
53,06.086.398/0001-07,0.22137855560762268,-0.8173308228210036,-0.09261747616708836,0.8953701857798623,0.0616816417228235
54,06.124.238/0001-05,,,,,0.018571800002763632
55,06.279.711/0001-23,,,,,0.026654958170614747
56,06.279.728/0001-80,,,,,0.02415162253904573
57,06.279.743/0001-29,,,,,0.019871895469071123
58,06.866.860/0001-99,,,,,0.023946229531618925
59,06.867.825/0001-94,,,,,0.023198692285640875
60,06.867.850/0001-78,,,,,0.0243132142223935
61,06.929.716/0001-54,,,,,0.02931745901713651
62,06.970.146/0001-46,,,,,0.027479586545738604
63,06.970.386/0001-40,,,,,0.023872402600140986
64,07.019.857/0001-00,,,,,0.03150230404326918
65,07.048.645/0001-43,,,,,0.02158742644112907
66,07.050.742/0001-70,,,,,0.022866324916139102
67,07.082.784/0001-93,,,,,0.018534730479045247
68,07.096.326/0001-03,,,,,0.022772980035223985
69,07.190.731/0001-96,-0.6538448120636684,,0.008852587619833823,0.8518716649097478,0.028078749422029627
70,07.192.395/0001-10,0.6910271809303827,0.7010498013417613,-0.12111292985486792,0.728785202884114,0.027565189247651785
71,07.287.884/0001-56,,,,,0.028694233487705056
72,07.287.974/0001-47,,,,,0.028131101507335804
73,07.291.225/0001-93,0.23129997494304355,,0.12690648709490168,-0.663627746690637,0.034199289847592844
74,07.325.043/0001-96,-0.008474813174282331,,,,0.02989726234710208
75,07.336.677/0001-44,0.17794494908679281,-0.897771730160095,0.007177965383038089,0.6021780925795984,0.026616318287549783
76,07.470.238/0001-20,,,,,0.03420195825715807
77,07.512.856/0001-95,0.9033141908141472,,-0.005551637840583291,-0.8189718760131718,0.033694150417761255
78,07.586.786/0001-10,,,,,0.03640006894440028
79,07.627.296/0001-14,,,,,0.03244392622139288
80,07.647.416/0001-45,,,,,0.03254151105251538
81,07.648.688/0001-60,,,,,0.028309215550272354
82,07.661.541/0001-00,,,,,0.03051372297771441
83,07.661.574/0001-50,,,,,0.016321648841028845
84,07.665.528/0001-29,,,,,0.029568226201122233
85,07.742.597/0001-99,-0.8273493884447961,,0.0855988489251562,0.3630661438128286,0.027091766518357065
86,07.753.199/0001-78,,,,,0.02954351077966596
87,07.857.488/0001-17,,,,,0.030051862171999816
88,07.858.003/0001-00,,,,,0.0228143776884367
89,07.904.994/0001-10,,,,,0.02906206424655861
90,07.965.745/0001-34,,,,,0.032718635918096046
91,08.004.639/0001-57,,,,,0.03139721693037067
92,08.053.594/0001-00,,,,,0.019042425340086867
93,08.057.405/0001-78,,,,,0.014712475528943468
94,08.058.592/0001-04,,,,,0.037122903943119866
95,08.058.600/0001-12,0.4131391471975172,,0.04748296907880723,-0.9955748049924632,0.02436134753459147
96,08.077.348/0001-99,,,,,0.026683705775060955
97,08.078.618/0001-86,,,,,0.03515771972518537
98,08.087.377/0001-31,,,,,0.029831276357345584
99,08.112.360/0001-97,,,,,0.03121896903000355
100,08.155.419/0001-24,0.7385448599875462,,0.06740623982015068,-0.9762651793704569,0.02860075139100151
101,08.156.628/0001-92,-0.056731074858615206,-0.6824154669539064,0.05074019963992881,-0.5697992385150157,0.027769321415841687
102,08.160.769/0001-89,,,,,0.026672675373008665
103,08.166.002/0001-67,,,,,0.034729253690480334
104,08.241.199/0001-51,,,,,0.027106184539556745
105,08.244.010/0001-84,,,,,0.021720572598438702
106,08.244.542/0001-11,0.8391987093375928,-0.13387771746172686,-0.04203752621294976,0.7116315296996207,0.025413608496195866
107,08.246.287/0001-46,0.23968647729002912,,-0.03089511852182182,-0.2528975652353507,0.028087158015105276
108,08.258.421/0001-29,,,,,0.032673423379839826
109,08.277.605/0001-36,,,,,0.028123765014901544
110,08.278.743/0001-30,,,,,0.024861402364052206
111,08.296.706/0001-54,,,,,0.023818145387742604
112,08.296.871/0001-06,,,,,0.02985875835908053
113,08.297.689/0001-70,,,,,0.018163301675210138
114,08.297.722/0001-61,,,,,0.02638091913975706
115,08.389.857/0001-57,,,,,0.03292866310321031
116,08.395.650/0001-95,,,,,0.02821328001078955
117,08.400.983/0001-65,,,,,0.03291062527498945
118,08.411.497/0001-42,,,,,0.028240044929530573
119,08.418.157/0001-43,0.3042516646017603,0.4854843766977272,-0.02479930640101053,-0.4022327136344933,0.02694975901040724
120,08.487.045/0001-44,,,,,0.027737844201133427
121,08.507.690/0001-81,,,,,0.02665740115108587
122,08.532.876/0001-90,,,,,0.025059389190794444
123,08.533.743/0001-39,,,,,0.03172228269778064
124,08.543.313/0001-06,-0.7593858626577588,0.8980190689205817,0.05598590698531933,0.9185685526936113,0.02811920407005102
125,08.543.320/0001-08,,,,,0.028484100299827866
126,08.543.343/0001-04,,,,,0.03108387753718633
127,08.611.059/0001-28,,,,,0.027684633578580933
128,08.611.108/0001-22,,,,,0.015908498997932948
