data;valor
05/12/2017;0,028333
06/12/2017;0,028333
07/12/2017;0,026481
08/12/2017;0,026481
11/12/2017;0,026481
12/12/2017;0,026481
13/12/2017;0,026481
14/12/2017;0,026481
15/12/2017;0,026481
18/12/2017;0,026481
19/12/2017;0,026481
20/12/2017;0,026481
21/12/2017;0,026481
22/12/2017;0,026481
26/12/2017;0,026481
27/12/2017;0,026481
28/12/2017;0,026481
29/12/2017;0,026481
02/01/2018;0,026481
03/01/2018;0,026481
04/01/2018;0,026481
05/01/2018;0,026481
08/01/2018;0,026481
09/01/2018;0,026481
10/01/2018;0,026481
11/01/2018;0,026481
12/01/2018;0,026481
15/01/2018;0,026481
16/01/2018;0,026481
17/01/2018;0,026481
18/01/2018;0,026481
19/01/2018;0,026481
22/01/2018;0,026481
23/01/2018;0,026481
24/01/2018;0,026481
25/01/2018;0,026481
26/01/2018;0,026481
29/01/2018;0,026481
30/01/2018;0,026481
31/01/2018;0,026481
01/02/2018;0,026481
02/02/2018;0,026481
05/02/2018;0,026481
06/02/2018;0,026481
07/02/2018;0,026481
08/02/2018;0,025552
09/02/2018;0,025552
14/02/2018;0,025552
15/02/2018;0,025552
16/02/2018;0,025552
19/02/2018;0,025552
20/02/2018;0,025552
21/02/2018;0,025552
22/02/2018;0,025552
23/02/2018;0,025552
26/02/2018;0,025552
27/02/2018;0,025552
28/02/2018;0,025552
01/03/2018;0,025552
02/03/2018;0,025552
05/03/2018;0,025552
06/03/2018;0,025552
07/03/2018;0,025552
08/03/2018;0,025552
09/03/2018;0,025552
12/03/2018;0,025552
13/03/2018;0,025552
14/03/2018;0,025552
15/03/2018;0,025552
16/03/2018;0,025552
19/03/2018;0,025552
20/03/2018;0,025552
21/03/2018;0,025552
22/03/2018;0,02462
23/03/2018;0,02462
26/03/2018;0,02462
27/03/2018;0,02462
28/03/2018;0,02462
29/03/2018;0,02462
02/04/2018;0,02462
03/04/2018;0,02462
04/04/2018;0,02462
05/04/2018;0,02462
06/04/2018;0,02462
09/04/2018;0,02462
10/04/2018;0,02462
11/04/2018;0,02462
12/04/2018;0,02462
13/04/2018;0,02462
16/04/2018;0,02462
17/04/2018;0,02462
18/04/2018;0,02462
19/04/2018;0,02462
20/04/2018;0,02462
23/04/2018;0,02462
24/04/2018;0,02462
25/04/2018;0,02462
26/04/2018;0,02462
27/04/2018;0,02462
30/04/2018;0,02462
02/05/2018;0,02462
03/05/2018;0,02462
04/05/2018;0,02462
07/05/2018;0,02462
08/05/2018;0,02462
09/05/2018;0,02462
10/05/2018;0,02462
11/05/2018;0,02462
14/05/2018;0,02462
15/05/2018;0,02462
16/05/2018;0,02462
17/05/2018;0,02462
18/05/2018;0,02462
21/05/2018;0,02462
22/05/2018;0,02462
23/05/2018;0,02462
24/05/2018;0,02462
25/05/2018;0,02462
28/05/2018;0,02462
29/05/2018;0,02462
30/05/2018;0,02462
01/06/2018;0,02462
04/06/2018;0,02462
05/06/2018;0,02462
06/06/2018;0,02462
07/06/2018;0,02462
08/06/2018;0,02462
11/06/2018;0,02462
12/06/2018;0,02462
13/06/2018;0,02462
14/06/2018;0,02462
15/06/2018;0,02462
18/06/2018;0,02462
19/06/2018;0,02462
20/06/2018;0,02462
21/06/2018;0,02462
22/06/2018;0,02462
25/06/2018;0,02462
26/06/2018;0,02462
27/06/2018;0,02462
28/06/2018;0,02462
29/06/2018;0,02462
02/07/2018;0,02462
03/07/2018;0,02462
04/07/2018;0,02462
05/07/2018;0,02462
06/07/2018;0,02462
09/07/2018;0,02462
10/07/2018;0,02462
11/07/2018;0,02462
12/07/2018;0,02462
13/07/2018;0,02462
16/07/2018;0,02462
17/07/2018;0,02462
18/07/2018;0,02462
19/07/2018;0,02462
20/07/2018;0,02462
23/07/2018;0,02462
24/07/2018;0,02462
25/07/2018;0,02462
26/07/2018;0,02462
27/07/2018;0,02462
30/07/2018;0,02462
31/07/2018;0,02462
01/08/2018;0,02462
02/08/2018;0,02462
03/08/2018;0,02462
06/08/2018;0,02462
07/08/2018;0,02462
08/08/2018;0,02462
09/08/2018;0,02462
10/08/2018;0,02462
13/08/2018;0,02462
14/08/2018;0,02462
15/08/2018;0,02462
16/08/2018;0,02462
17/08/2018;0,02462
20/08/2018;0,02462
21/08/2018;0,02462
22/08/2018;0,02462
23/08/2018;0,02462
24/08/2018;0,02462
27/08/2018;0,02462
28/08/2018;0,02462
29/08/2018;0,02462
30/08/2018;0,02462
31/08/2018;0,02462
03/09/2018;0,02462
04/09/2018;0,02462
05/09/2018;0,02462
06/09/2018;0,02462
10/09/2018;0,02462
11/09/2018;0,02462
12/09/2018;0,02462
13/09/2018;0,02462
14/09/2018;0,02462
17/09/2018;0,02462
18/09/2018;0,02462
19/09/2018;0,02462
20/09/2018;0,02462
21/09/2018;0,02462
24/09/2018;0,02462
25/09/2018;0,02462
26/09/2018;0,02462
27/09/2018;0,02462
28/09/2018;0,02462
01/10/2018;0,02462
02/10/2018;0,02462
03/10/2018;0,02462
04/10/2018;0,02462
05/10/2018;0,02462
08/10/2018;0,02462
09/10/2018;0,02462
10/10/2018;0,02462
11/10/2018;0,02462
15/10/2018;0,02462
16/10/2018;0,02462
17/10/2018;0,02462
18/10/2018;0,02462
19/10/2018;0,02462
22/10/2018;0,02462
23/10/2018;0,02462
24/10/2018;0,02462
25/10/2018;0,02462
26/10/2018;0,02462
29/10/2018;0,02462
30/10/2018;0,02462
31/10/2018;0,02462
01/11/2018;0,02462
05/11/2018;0,02462
06/11/2018;0,02462
07/11/2018;0,02462
08/11/2018;0,02462
09/11/2018;0,02462
12/11/2018;0,02462
13/11/2018;0,02462
14/11/2018;0,02462
16/11/2018;0,02462
19/11/2018;0,02462
20/11/2018;0,02462
21/11/2018;0,02462
22/11/2018;0,02462
23/11/2018;0,02462
26/11/2018;0,02462
27/11/2018;0,02462
28/11/2018;0,02462
29/11/2018;0,02462
30/11/2018;0,02462
03/12/2018;0,02462
04/12/2018;0,02462
05/12/2018;0,02462
06/12/2018;0,02462
07/12/2018;0,02462
10/12/2018;0,02462
11/12/2018;0,02462
12/12/2018;0,02462
13/12/2018;0,02462
14/12/2018;0,02462
17/12/2018;0,02462
18/12/2018;0,02462
19/12/2018;0,02462
20/12/2018;0,02462
21/12/2018;0,02462
24/12/2018;0,02462
26/12/2018;0,02462
27/12/2018;0,02462
28/12/2018;0,02462
31/12/2018;0,02462
02/01/2019;0,02462
03/01/2019;0,02462
04/01/2019;0,02462
07/01/2019;0,02462
08/01/2019;0,02462
09/01/2019;0,02462
10/01/2019;0,02462
11/01/2019;0,02462
14/01/2019;0,02462
15/01/2019;0,02462
16/01/2019;0,02462
17/01/2019;0,02462
18/01/2019;0,02462
21/01/2019;0,02462
22/01/2019;0,02462
23/01/2019;0,02462
24/01/2019;0,02462
25/01/2019;0,02462
28/01/2019;0,02462
29/01/2019;0,02462
30/01/2019;0,02462
31/01/2019;0,02462
01/02/2019;0,02462
04/02/2019;0,02462
05/02/2019;0,02462
06/02/2019;0,02462
07/02/2019;0,02462
08/02/2019;0,02462
11/02/2019;0,02462
12/02/2019;0,02462
13/02/2019;0,02462
14/02/2019;0,02462
15/02/2019;0,02462
18/02/2019;0,02462
19/02/2019;0,02462
20/02/2019;0,02462
21/02/2019;0,02462
22/02/2019;0,02462
25/02/2019;0,02462
26/02/2019;0,02462
27/02/2019;0,02462
28/02/2019;0,02462
01/03/2019;0,02462
06/03/2019;0,02462
07/03/2019;0,02462
08/03/2019;0,02462
