,CNPJ,IbovCorrelation,SELICCorrelation,flowCorrelation,avgTicketCorrelation,vol
0,00.068.305/0001-35,-0.7952609925444113,0.7668405923607624,0.05175809499816942,0.515151701932632,0.05152303379153747
1,00.071.477/0001-68,0.6007121100139103,-0.7789542414002942,0.04615389054877203,-0.3946340588557581,0.02978672612957124
2,00.180.995/0001-10,-0.7613004510523003,0.7915853964209795,-0.10539499239786225,0.4430620341996115,0.06730034193312716
3,00.222.816/0001-60,-0.521112698164607,0.14573265292997764,0.11492540949784723,-0.5770093660619164,0.07324665731668763
4,00.756.851/0001-69,-0.24927119310101992,-0.6322189534289837,0.10961441426217822,0.7238984286022664,0.046893907651881284
5,00.785.365/0001-79,-0.5483429815694817,0.8714522227287698,-0.04257818157188961,-0.6818929271500914,0.041117803496963264
6,00.793.947/0001-05,-0.8056418458930025,0.8624764386787132,-0.029183782169566408,0.8049237554905987,0.03590026675172081
7,00.817.201/0001-86,-0.8330732303209941,0.8810711887793955,-0.0023191760336971215,0.7268034960142749,0.03739744494716136
8,00.822.933/0001-64,-0.6769359009373777,0.7505291764506594,-0.015102950693234966,-0.9674507346311487,0.064952936417677
9,00.824.198/0001-28,-0.7979231678406318,0.8660311059356027,0.013380512251398163,-0.5671396653398186,0.05663742988931274
10,00.826.386/0001-95,-0.6950673546818092,0.8710356471498923,0.036291268502787195,0.8778948824313526,0.04724015984858157
11,00.826.901/0001-37,-0.8116953352707252,0.8827597913253232,-0.010963387556760707,-0.1533877878764568,0.054920324644873314
12,00.826.907/0001-04,-0.8152887974137303,0.8837154878428143,0.018441072986068747,0.4307182362791366,0.056192695568614476
13,00.826.911/0001-72,-0.8347411803963862,0.878528047128037,-0.007153803965311216,0.8885026579081767,0.03742525410882719
14,00.829.282/0001-34,-0.5641919726984674,0.424500880059074,0.04792363997632349,-0.0761316339749878,0.046338842257771976
15,00.829.288/0001-01,-0.7072670042092318,0.6761603140780876,0.056050351257868475,0.5188479153767303,0.06556508427881369
16,00.829.292/0001-70,-0.326030890562028,-0.13366659507516254,-0.08130244726314391,-0.5720304215406694,0.06291833206884864
17,00.832.414/0001-87,-0.8216484192311467,0.8817626638805313,-0.0813797808476657,-0.8806968874211014,0.04679249854875141
18,00.832.424/0001-12,-0.8228182664619991,0.8757726542348785,-0.09091291616846013,0.9539198028782914,0.038244599815448505
19,00.832.431/0001-14,-0.8271470285058631,0.8742886188509299,-0.21382181544503295,0.9370968376030494,0.04779541324589195
20,00.832.443/0001-49,0.45748317355300794,-0.7256910959508931,-0.07251233203239656,0.2728207276871363,0.06724655555182239
21,00.832.445/0001-38,-0.8267826162698207,0.8802497660764572,0.03792718451812411,-0.6793467085799019,0.038256231348670476
22,00.832.587/0001-03,-0.6418537303496021,0.47804033893199654,0.17364498695427452,0.070192896026269,0.03772777532804807
23,00.832.696/0001-12,-0.8219289435348262,0.8605245737898612,-0.03409174026286026,0.9650852900913718,0.06549937071423582
24,00.834.072/0001-34,-0.8129002736591456,0.8443046290992037,0.02549533028755975,0.5100143529092116,0.05176924073902763
25,00.834.074/0001-23,0.7333869315103204,-0.8525605955699389,-0.015513051852071486,0.8731804668348705,0.016951901732165885
26,00.838.266/0001-08,-0.7729838469858566,0.8799208513982433,0.0307789920782423,0.6025487941322122,0.05105013595830102
27,00.979.181/0001-40,-0.755446922615106,0.833015538173155,0.002464728733118715,-0.8968761811223369,0.032345460236215
28,00.982.697/0001-43,,,,,0.06435288934153156
