,CNPJ,IbovCorrelation,SELICCorrelation,flowCorrelation,avgTicketCorrelation,vol
0,27.944.378/0001-08,,,,,
1,28.947.266/0001-65,,,,,
2,18.422.272/0001-45,0.5468727778570245,0.26377605478658706,0.002644571969418179,-0.011572051886922282,0.05492666167767911
3,21.470.989/0001-77,-0.8519743262420317,,0.03844414285578979,-0.9182818250237399,0.055027818964708416
4,23.565.803/0001-99,-0.31060830163158004,,0.03418093038408925,-0.8695813192076108,0.054827313024092376
5,31.963.220/0001-44,,,,,
6,34.774.662/0001-30,,,,,
7,24.119.462/0001-90,0.6513522125059252,,0.05749402593671158,0.7602120910452178,0.05866250669641279
8,24.018.977/0001-02,-0.6629076961985009,,0.05392905070715445,-0.680219418054415,0.0584031448831125
9,24.119.419/0001-25,0.7146155281961697,-0.6353354142210587,-0.21429316557689013,0.6481960905328271,0.0342493305974513
10,24.078.037/0001-09,0.12122058755988648,-0.9833788183320693,-0.31218337267146395,0.6659229188687719,0.03419905228807974
11,24.029.438/0001-60,0.04763861469483885,-0.9782891962045526,-0.16573744772379576,0.48633572050143287,0.034226708939485755
12,29.298.529/0001-15,,,,,
13,23.979.285/0001-50,0.7704716301547467,,-0.0330049894839826,-0.21752912442051223,0.029609204353635232
14,29.286.406/0001-64,,,,,
15,23.951.048/0001-80,0.7802744568105078,,-0.009092435962885965,-0.05771849450852846,0.02963556573785932
16,13.001.211/0001-90,0.5913066635441333,-0.9670489823489384,-0.02098265986991461,-0.7929585981746845,0.030743288192504884
17,31.525.084/0001-00,,,,,
18,33.784.197/0001-56,,,,,
19,13.608.337/0001-28,0.22048716415334366,,0.30252964046297254,0.45496778978959057,0.037313139838077866
20,15.182.407/0001-54,0.23172526839512453,,-0.029705401232984062,0.16918389924383648,0.041759222179761954
21,33.345.956/0001-84,,,,,
22,27.826.024/0001-50,0.8871100170774179,,-0.6143839062853033,-0.99999352879196,0.008162110686113742
23,17.414.721/0001-40,0.6567400957958787,-0.7981499588801041,-0.012464458806406219,-0.5709202321570549,0.028779568619414213
24,06.041.290/0001-06,0.11398963534855645,-0.9690273569173997,-0.11249524694849514,-0.4642264435407976,0.03283699496572039
25,32.240.069/0001-89,,,,,
26,26.323.079/0001-85,0.7518637144697117,,0.06074760626057946,-0.634991107189588,0.04997139490861717
27,14.812.722/0001-55,0.7562456673217376,-0.9823731953274029,0.22072038062524474,-0.7354470992090036,0.03643588146549937
28,23.732.231/0001-95,0.8436701058520352,,-0.008517301863656524,-0.9731998416289845,0.06182935811852738
